Time      encoder Position      Calculated Position
-0.001    -1.50796     0.258157
-0.001    -1.50796     0.312203
-0.001    -1.50796     0.371341
-0.001    -1.50796     0.435555
-0.001    -1.50796     0.504827
-0.001    -1.50796     0.579144
-0.001    -1.50796     0.658486
-0.001    -1.50796     0.742834
-0.001    -1.50796     0.832163
-0.001    -1.50796     0.926458
-0.001    -1.50796     1.02569
-0.001    -1.50796     1.12984
-0.001    -1.50796     1.23888
-0.001    -1.50796     1.35278
-0.001    -1.50796     1.47151
-0.001    -1.50796     1.59505
-0.001    -1.50796     1.72336
-0.001    -1.50796     1.85641
-0.001    -1.50796     1.99418
-0.001    -1.50796     2.13662
-0.001    -1.50796     2.2837
-0.001    -1.50796     2.43539
-0.001    -1.50796     2.59164
-0.001    -1.50796     2.75242
-0.001    -1.50796     2.91769
-0.001    -1.50796     3.08741
-0.001    -1.50796     3.26153
-0.001    -1.50796     3.44002
-0.001    -1.50796     3.62282
-0.001    -1.50796     3.8099
-0.001    -1.50796     4.00121
-0.001    -1.50796     4.1967
-0.001    -1.50796     4.39632
-0.001    -1.50796     4.60002
-0.001    -1.50796     4.80776
-0.001    -1.50796     5.01947
-0.001    -1.50796     5.23512
-0.001    -1.50796     5.45465
-0.001    -1.50796     5.67799
-0.001    -1.50796     5.9051
-0.001    -1.50796     6.13592
-0.001    -1.50796     6.3704
-0.001    -1.50796     6.60848
-0.001    -1.50796     6.85008
-0.001    -1.50796     7.09517
-0.001    -1.50796     7.34367
-0.001    -1.50796     7.59554
-0.001    -1.50796     7.85069
-0.001    -1.50796     8.10907
-0.001    -1.50796     8.37063
-0.001    -1.50796     8.63527
-0.001    -1.50796     8.90297
-0.001    -1.50796     9.17363
-0.001    -1.50796     9.4472
-0.001    -1.50796     9.7236
-0.001    -1.50796     10.0028
-0.001    -1.50796     10.2846
-0.001    -1.50796     10.5691
-0.001    -1.50796     10.8562
-0.001    -1.50796     11.1458
-0.001    -1.50796     11.4377
-0.001    -1.50796     11.7321
-0.001    -1.50796     12.0286
-0.001    -1.50796     12.3274
-0.001    -1.50796     12.6283
-0.001    -1.50796     12.9313
-0.001    -1.50796     13.2362
-0.001    -1.50796     13.5431
-0.001    -1.50796     13.8518
-0.001    -1.50796     14.1622
-0.001    -1.50796     14.4743
-0.001    -1.50796     14.788
-0.001    -1.50796     15.1032
-0.001    -1.50796     15.4198
-0.001    -1.50796     15.7378
-0.001    -1.50796     16.0571
-0.001    -1.50796     16.3776
-0.001    -1.50796     16.6993
-0.001    -1.50796     17.0219
-0.001    -1.50796     17.3456
-0.001    -1.50796     17.6701
-0.001    -1.50796     17.9955
-0.001    -1.50796     18.3215
-0.001    -1.50796     18.6482
-0.001    -1.50796     18.9755
-0.001    -1.50796     19.3033
-0.001    -1.50796     19.6315
-0.001    -1.50796     19.96
-0.001    -1.50796     20.2887
-0.001    -1.50796     20.6176
-0.001    -1.50796     20.9466
-0.001    -1.50796     21.2756
-0.001    -1.50796     21.6045
-0.001    -1.50796     21.9332
-0.001    -1.50796     22.2617
-0.001    -1.50796     22.5899
-0.001    -1.50796     22.9176
-0.001    -1.50796     23.2449
-0.001    -1.50796     23.5716
-0.001    -1.50796     23.8976
-0.001    -1.50796     24.223
-0.001    -1.50796     24.5475
-0.001    -1.50796     24.8711
-0.001    -1.50796     25.1938
-0.001    -1.50796     25.5154
-0.001    -1.50796     25.8359
-0.001    -1.50796     26.1552
-0.001    -1.50796     26.4731
-0.001    -1.50796     26.7898
-0.001    -1.50796     27.105
-0.001    -1.50796     27.4186
-0.001    -1.50796     27.7307
-0.001    -1.50796     28.0411
-0.001    -1.50796     28.3497
-0.001    -1.50796     28.6566
-0.001    -1.50796     28.9615
-0.001    -1.50796     29.2644
-0.001    -1.50796     29.5653
-0.001    -1.50796     29.864
-0.001    -1.50796     30.1606
-0.001    -1.50796     30.4549
-0.001    -1.50796     30.7468
-0.001    -1.50796     31.0363
-0.001    -1.50796     31.3233
-0.001    -1.50796     31.6078
-0.001    -1.50796     31.8896
-0.001    -1.50796     32.1687
-0.001    -1.50796     32.4451
-0.001    -1.50796     32.7186
-0.001    -1.50796     32.9892
-0.001    -1.50796     33.2569
-0.001    -1.50796     33.5215
-0.001    -1.50796     33.783
-0.001    -1.50796     34.0413
-0.001    -1.50796     34.2964
